Tanzania	TZA	SSA	9	9	8	8	8	8
Armenia	ARM	ECA	6	6	5	6	6	6
Ethiopia	ETH	SSA	9	9	8	8	8	8
Macedonia	MKD	ECA	6	7	6	6	6	6
Vietnam	VNM	AP	8	8	8	8	8	8
Philippines	PHL	AP	9	9	8	8	9	9
Algeria	DZA	MENA	6	6	5	5	6	6
Bolivia	BOL	AME	6	8	7	7	7	7
El Salvador	SLV	AME	7	7	6	6	6	6
Maldives	MDV	AP	3	3
Niger	NER	SSA	6	5	5	5	5	5
Ecuador	ECU	AME	7	6	6	5	6	6
Egypt	EGY	MENA	7	6	6	6	7	7
Gabon	GAB	SSA	4	4	4	4	5	5
Pakistan	PAK	AP	8	7	7	7	8	8
Togo	TGO	SSA	6	5	5	5	5	5
Azerbaijan	AZE	ECA	7	7	6	6	6	6
Djibouti	DJI	SSA	4	3	3	3	3	3
Kazakhstan	KAZ	ECA	9	9	8	8	8	8
Liberia	LBR	SSA	8	7	7	6	7	7
Malawi	MWI	SSA	9	9	8	8	8	8
Mali	MLI	SSA	7	6	6	6	6	6
Nepal	NPL	AP	6	6	5	5	5	5
Moldova	MDA	ECA	9	9	8	8	8	8
Gambia	GMB	SSA	6	5	5	5	5	5
Iran	IRN	MENA	7	7	6	6	6	6
Myanmar	MMR	AP	7	8	7	7	6	4
Sierra Leone	SLE	SSA	9	8	8	8	8	8
Ukraine	UKR	ECA	9	9	8	8	8	8
Dominican Republic	DOM	AME	7	6	6	6	6	6
Honduras	HND	AME	8	7	7	6	6	6
Kyrgyzstan	KGZ	ECA	7	7	6	6	6	6
Laos	LAO	AP	5	4	4	4	4	3
Mexico	MEX	AME	9	8	8	8	9	9
Papua New Guinea	PNG	AP	6	5	5	5	5	5
Paraguay	PRY	AME	6	6	5	5	5	5
Russia	RUS	ECA	9	9	8	8	9	9
Bangladesh	BGD	AP	8	7	7	7	7	7
Guatemala	GTM	AME	7	6	6	6	6	6
Kenya	KEN	SSA	9	9	8	8	8	8
Lebanon	LBN	MENA	7	7	6	6	6	6
Mauritania	MRT	SSA	6	5	5	5	5	5
Comoros	COM	SSA	4	3	3	3	3	3
Guinea	GIN	SSA	7	5	6	7	7	7
Nigeria	NGA	SSA	9	9	8	8	9	9
Nicaragua	NIC	AME	8	7	7	7	7	7
Uganda	UGA	SSA	9	9	8	8	8	8
Cameroon	CMR	SSA	9	9	8	8	8	8
Mozambique	MOZ	SSA	8	8	7	7	7	7
Madagascar	MDG	SSA	8	7	7	8	8	8
Central African Republic	CAF	SSA	5	4	4	4	4	4
Burundi	BDI	SSA	6	6	5	5	5	5
Haiti	HTI	AME	6	5	5	5	5	5
Uzbekistan	UZB	ECA	7	7	6	6	6	6
Zimbabwe	ZWE	SSA	9	9	8	8	8	8
Cambodia	KHM	AP	8	8	7	7	7	7
Congo	COG	SSA	6	5	6	6	6	6
Democratic Republic of the Congo	COD	SSA	8	7	6	5	5	5
Tajikistan	TJK	ECA	5	6	5	5	5	5
Chad	TCD	SSA	6	5	5	5	5	5
Eritrea	ERI	SSA	5	5	4	4	4	4
Angola	AGO	SSA	5	4	5	6	7	7
Turkmenistan	TKM	ECA	5	4	4	3	3	3
Iraq	IRQ	MENA	5	5	4	4	4	4
Venezuela	VEN	AME	8	7	7	7	7	7
Korea, North	PRK	AP	4	3	3	3	3	3
Equatorial Guinea	GNQ	SSA	3				3	3
Guinea Bissau	GNB	SSA	5	4	4	4	4	4
Libya	LBY	MENA	5	4	5	5	6	6
Sudan	SDN	SSA	7	7	6	6	6	6
Yemen	YEM	MENA	7	7	6	6	6	6
Afghanistan	AFG	AP	5	5	4	4	3	3
Syria	SYR	MENA	5	5	4	4	4	5
South Sudan	SSD	SSA	5	5	3	3	3
Somalia	SOM	SSA	5	5	4	4	4	4
Puerto Rico	PRI	AME				3	3	3
