Spain	ESP	WE/EU	3.78	4.09	4.07	3.75	4.9	2.9
Georgia	GEO	ECA	3.1	3.61	6.53	6.47	6.9	6
Malta	MLT	WE/EU	1.18	1.39	1.32	2.63	2.4	2.4
Cabo Verde	CPV	SSA	4.19	5.72	6.16	5.94	4.8	3.8
Rwanda	RWA	SSA	6	5.07	6.42	3.23	5.7	6.3
Saint Lucia	LCA	AME	4.27	6.8		0.84	0.8	0.8
Korea South	KOR	AP	2.24	2.33	2.29	2.64	2.4	2.4
Grenada	GRD	AME	3	4.63
Namibia	NAM	SSA	3.22	2.03	2.75	4.00	3.4	3.5
Italy	ITA	WE/EU	3.72	3.34	2.50	2.26	2.5	2.4
Mauritius	MUS	SSA	4.41	2.14	1.49	2.39	1.1	3.5
Slovakia	SVK	WE/EU	3.32	3.09	3.63	4.07	4.7	4.3
Croatia	HRV	WE/EU	2.64	2.39	2.02	3.25	3.3	3.1
Saudi Arabia	SAU	MENA	6.14	7.54	7.03	6.69	6.7	6.4
Greece	GRC	WE/EU	2.98	2.5	5.08	5.56	4.5	3.6
Jordan	JOR	MENA	2.99	3.03	3.00	2.87	2.4	3.1
Romania	ROU	WE/EU	3.12	3	3.11	3.60	3	3.7
Cuba	CUB	AME	2.36	2.9	3.64	4.46	4.5	4.1
Malaysia	MYS	AP	2.67	2.46	3.00	2.88	3.4	3.4
Montenegro	MNE	ECA	2.45	2.89	4.87	4.25	2.2	4.5
Sao Tome and Principe	STP	SSA	5.21	0.93	5.00	5.05	5	5
Hungary	HUN	WE/EU	2.89	2.89	3.73	3.45	3.6	3.5
Senegal	SEN	SSA	2.52	2.63	2.61	2.28	1.5	1.8
Belarus	BLR	ECA	4.12	3.93	4.37	4.04	4	3.6
Jamaica	JAM	AME	3.96	1.84	1.68	1.80	1.8	2.2
Oman	OMN	MENA	7	7.07	6.69	6.55	7.8	7.6
Bulgaria	BGR	WE/EU	2.66	2.2	2.43	2.82	3.3	3.8
South Africa	ZAF	SSA	3.98	2.55	2.61	2.41	2.8	2.5
Vanuatu	VUT	AP	3.93
Burkina Faso	BFA	SSA	2.18	2.47	2.97	2.67	3.9	4.4
Lesotho	LSO	SSA	4.08	6.15	4.99	3.55	3.6	4.6
Tunisia	TUN	MENA	3.73	3.9	2.17	1.72	1.9	2.8
China	CHN	AP	1.96	2.39	2.34	2.17	2.9	2.9
Serbia	SRB	ECA	2.8	3.69	3.90	2.92	3.4	2.6
Suriname	SUR	AME	4.08	7.53	3.21	3.25	3.2	3.2
Trinidad and Tobago	TTO	AME	5.47	2.48	4.64	4.82	5.1	4.5
Ghana	GHA	SSA	2.56	2.89	2.82	3.01	3.3	3.8
India	IND	AP	2.16	2.47	3.14	2.27	2.2	2.1
Morocco	MAR	MENA	2.6	1.74	3.85	3.57	2.9	3.2
Turkey	TUR	ECA	1.8	1.8	2.02	2.69	2.4	2.1
Argentina	ARG	AME	2.92	1.76	1.84	2.42	2.4	2.6
Benin	BEN	SSA	4.17	3.8	4.43	4.38	3.4	4.3
Kosovo	KSV	ECA	2.13	3.17	2.19	2.33	2.3	1.5
Kuwait	KWT	MENA	2.47	2.67	4.51	5.24	3.9	3.9
Solomon Islands	SLB	AP	3.71	3.34
Swaziland	SWZ	SSA	5.81			2.98	1.8	2.1
Albania	ALB	ECA	1.81	1.99	3.58	1.51	2.1	2
Bosnia and Herzegovina	BIH	ECA	2.56	1.7	1.71	1.15	2.9	2.3
Guyana	GUY	AME	1.84	3.57	3.01	3.03	2.9	2.1
Sri Lanka	LKA	AP	1.82	1.64	2.09	2.18	2.1	1.3
Timor-Leste	TLS	AP	7.5	5.97	5.17	5.18	3.2	5.6
Brazil	BRA	AME	4.24	4.34	5.29	4.01	3.7	3.3
Colombia	COL	AME	2.77	2.27	1.94	1.68	2	2.6
Indonesia	IDN	AP	3.12	2.39	3.39	3.57	3.5	2.9
Panama	PAN	AME	1.79	2.29	3.01	3.49	2.2	3.1
Peru	PER	AME	3.35	2.04	3.05	2.63	2.5	2.1
Thailand	THA	AP	2.03	2.44	2.12	1.60	1.2	1.6
Zambia	ZMB	SSA	2.46	2.91	2.55	2.27	2.1	3.1
Bahrain	BHR	MENA	1.81	5.96	7.86	6.11	5.4	4.1
Côte D'Ivoire	CIV	SSA	2.03	2.03	2.65	4.20	2.3	2.4
Mongolia	MNG	AP	1.4	1.7	1.76	2.13	2.2	2.6
Tanzania	TZA	SSA	1.55	1.84	3.49	3.20	2.7	2.1
Armenia	ARM	ECA	3.79	4.01	2.98	3.69	3.5	2.7
Ethiopia	ETH	SSA	1.36	1.37	2.73	2.54	2.5	1.6
Macedonia	MKD	ECA	4.49	4.97	5.27	5.92	5	4.7
Vietnam	VNM	AP	2.78	2.46	2.56	2.55	2.6	2.5
Philippines	PHL	AP	1.9	1.58	1.92	1.84	2.5	2.2
Algeria	DZA	MENA	2.32	2.94	1.85	2.06	2.8	3.3
Bolivia	BOL	AME	2.98	2.85	3.58	2.98	3.7	3.7
El Salvador	SLV	AME	3.25	2.76	2.26	1.98	2	2.8
Maldives	MDV	AP	1.71	5.66
Niger	NER	SSA	3.27	3.25	4.16	3.99	3.7	3.1
Ecuador	ECU	AME	2.66	1.96	2.86	3.56	3.6	2.9
Egypt	EGY	MENA	4.04	2.72	2.47	2.91	3.1	3.1
Gabon	GAB	SSA	3.22	0.97	1.65	4.19	1.5	2.1
Pakistan	PAK	AP	2.11	2.12	3.12	3.24	3	2.3
Togo	TGO	SSA	3.29	4.21	3.04	3.69	3.7	3.4
Azerbaijan	AZE	ECA	5.64	5.13	3.25	3.02	3.5	2.5
Djibouti	DJI	SSA	5.32	8.23	9.07	9.10	8.6	8.6
Kazakhstan	KAZ	ECA	3.59	3.35	4.90	4.40	3.3	4.1
Liberia	LBR	SSA	3.24	3.43	4.22	3.09	3.3	3.9
Malawi	MWI	SSA	1.85	2.11	2.41	3.03	1.7	1.5
Mali	MLI	SSA	2.08	1.75	1.89	3.37	3.3	4
Nepal	NPL	AP	2	2.33	2.73	2.20	1.4	2.4
Moldova	MDA	ECA	1.54	2.18	2.88	2.70	2.8	2.6
Gambia	GMB	SSA	6.22	7.2	6.67	7.55	6.7	7
Iran	IRN	MENA	3.51	2.47	3.28	4.72	3.9	4.6
Myanmar	MMR	AP	3.91	3.69	2.82	2.87	3.9	3.7
Sierra Leone	SLE	SSA	1.95	2.94	3.44	2.30	2.4	1.9
Ukraine	UKR	ECA	2.27	1.97	1.93	1.64	1.7	1.8
Dominican Republic	DOM	AME	2.56	1.89	2.63	3.30	3.5	2.7
Honduras	HND	AME	2.32	3.05	4.12	3.49	2.5	2.4
Kyrgyzstan	KGZ	ECA	2.59	2.08	2.29	2.35	2.3	1.8
Laos	LAO	AP	5.89	6.19	5.31	3.80	5	1.3
Mexico	MEX	AME	1.69	1.56	3.02	1.66	1.8	1.7
Papua New Guinea	PNG	AP	2.55	3.01	4.22	4.16	4.2	4.2
Paraguay	PRY	AME	3.1	2.68	2.85	2.95	3.1	2.9
Russia	RUS	ECA	2.5	2.73	2.52	2.61	2.3	2.2
Bangladesh	BGD	AP	3.19	4.13	4.30	4.23	4.1	4.1
Guatemala	GTM	AME	2.19	2.58	3.46	2.96	2.6	2.7
Kenya	KEN	SSA	1.94	1.72	3.02	2.98	2.7	2.2
Lebanon	LBN	MENA	2.11	2.5	3.22	3.37	3.3	2.3
Mauritania	MRT	SSA	2.41	3.62	5.07	4.23	4.1	3.5
Comoros	COM	SSA	8.87	12.81	8.76	8.75	7.5	7.5
Guinea	GIN	SSA	2.37	2.54	3.16	3.21	3.6	2.7
Nigeria	NGA	SSA	1.97	1.98	2.24	2.82	3.1	2.7
Nicaragua	NIC	AME	1.29	1.98	2.50	2.03	2.4	2.1
Uganda	UGA	SSA	2.11	2.24	3.19	3.03	3.3	2.2
Cameroon	CMR	SSA	2.58	3.04	3.26	2.87	2.9	3.5
Mozambique	MOZ	SSA	2.87	2.57	1.97	1.89	2	1.6
Madagascar	MDG	SSA	2.72	2.88	2.99	3.38	1.9	3.2
Central African Republic	CAF	SSA	3.28	4.04	1.44	1.33	5.4	2.4
Burundi	BDI	SSA	3.29	1.53	2.94	3.65	2.6	2.8
Haiti	HTI	AME	2.05	1.81	2.74	2.86	3.1	2.8
Uzbekistan	UZB	ECA	2.11	2.35	2.71	2.54	2	2
Zimbabwe	ZWE	SSA	2.22	2.59	4.54	4.18	4.3	4.3
Cambodia	KHM	AP	2.43	2.82	3.87	2.25	3	3.1
Congo	COG	SSA	1.08	1.78	4.11	4.20	3.8	3.3
Democratic Republic of the Congo	COD	SSA	1.96	2.13	3.35	4.19	4.2	3.3
Tajikistan	TJK	ECA	2.36	5.26	7.36	5.32	3.8	3.8
Chad	TCD	SSA	2.73	2.67	2.35	2.95	3.8	2.5
Eritrea	ERI	SSA	5.74	6.24	8.15	7.91	11	9.2
Angola	AGO	SSA	1.28	1.68	1.80	1.71	2.8	1.8
Turkmenistan	TKM	ECA	1.78	1.32	2.38	2.85	2.9	2.9
Iraq	IRQ	MENA	2.47	1.87	2.50	2.37	2.4	2.3
Venezuela	VEN	AME	1.6	1.41	2.64	1.69	2.3	2.1
Korea North	PRK	AP	4.18	1.39	3.38	3.35	3.4	3.4
Equatorial Guinea	GNQ	SSA	3.56				2.2	1.3
Guinea Bissau	GNB	SSA	1.7	2.09	2.63	2.37	2.4	2.1
Libya	LBY	MENA	3.05	2	3.18	2.81	3.3	4
Sudan	SDN	SSA	2.31	2.99	3.64	3.55	3.5	2.9
Yemen	YEM	MENA	1.85	3.05	2.66	2.37	2.6	2.2
Afghanistan	AFG	AP	1.39	1.74	3.49	1.29	3.3	3.3
Syria	SYR	MENA	1.93	1.97	5.66	5.31	3.8	2.7
South Sudan	SSD	SSA	1.56	3.21	1.45	2.35	1.6
Somalia	SOM	SSA	2.26	2.98	2.32	2.34	1.9	2.3
Puerto Rico	PRI	AME				4.37	6	4.9
